"","work_year","job_category","salary_in_usd","experience_level","employment_type","work_setting","company_size","is_Data_Engineer","is_Data_Scientist","is_Data_Analyst","is_Machine_Learning_Engineer","is_Applied_Scientist","is_Research_Scientist","is_Analytics_Engineer","is_Data_Architect","is_residence_US"
"7935",2022,"Data Engineering",135000,"Entry-level","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7936",2022,"Data Engineering",120000,"Mid-level","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7937",2022,"Data Engineering",95000,"Mid-level","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7938",2022,"Data Engineering",153600,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7939",2022,"Data Engineering",106800,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7940",2022,"Data Analysis",100000,"Mid-level","Full-time","In-person","M",0,0,1,0,0,0,0,0,0
"7941",2022,"Data Analysis",65000,"Mid-level","Full-time","In-person","M",0,0,1,0,0,0,0,0,0
"7942",2022,"Data Engineering",120000,"Mid-level","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7943",2022,"Data Engineering",95000,"Mid-level","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7944",2022,"Data Engineering",63040,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,0
"7945",2022,"Data Engineering",36773,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,0
"7946",2022,"Data Engineering",310000,"Executive","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7947",2022,"Data Engineering",239000,"Executive","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7948",2022,"Data Science and Research",299500,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"7949",2022,"Data Science and Research",245100,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"7950",2022,"Data Science and Research",168000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"7951",2022,"Data Science and Research",130000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"7952",2022,"Data Science and Research",136000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"7953",2022,"Data Science and Research",104000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"7954",2022,"Data Engineering",161000,"Mid-level","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7955",2022,"Data Engineering",118000,"Mid-level","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7956",2022,"Data Science and Research",205000,"Senior","Full-time","Remote","M",0,0,0,0,1,0,0,0,1
"7957",2022,"Data Science and Research",184000,"Senior","Full-time","Remote","M",0,0,0,0,1,0,0,0,1
"7958",2022,"Data Science and Research",185900,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"7959",2022,"Data Science and Research",129300,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"7960",2022,"Data Science and Research",247500,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"7961",2022,"Data Science and Research",172200,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"7962",2022,"Data Management and Strategy",68293,"Senior","Full-time","In-person","L",0,0,0,0,0,0,0,0,0
"7963",2022,"Data Analysis",177000,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"7964",2022,"Data Analysis",131000,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"7965",2022,"Data Science and Research",205000,"Senior","Full-time","Remote","M",0,0,0,0,1,0,0,0,1
"7966",2022,"Data Science and Research",184000,"Senior","Full-time","Remote","M",0,0,0,0,1,0,0,0,1
"7967",2022,"Data Engineering",146000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7968",2022,"Data Engineering",102000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7969",2022,"Data Analysis",169000,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"7970",2022,"Data Analysis",110600,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"7971",2022,"Data Science and Research",230000,"Senior","Full-time","Remote","M",0,0,0,0,1,0,0,0,1
"7972",2022,"Data Science and Research",196000,"Senior","Full-time","Remote","M",0,0,0,0,1,0,0,0,1
"7973",2022,"Data Engineering",135000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7974",2022,"Data Engineering",100000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
